route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R001,WK,R001WKL000199,Station 1,0,4,0,1
R001,WK,R001WKL000200,Station 1,0,4,0,1
R001,WK,R001WKL000201,Station 1,0,4,0,1
R001,WK,R001WKL000202,Station 1,0,4,0,1
R001,WK,R001WKL000203,Station 1,0,4,0,1
R001,WK,R001WKL000204,Station 1,0,4,0,1
R001,WK,R001WKL000205,Station 1,0,4,0,1
R001,WK,R001WKL000206,Station 1,0,4,0,1
R001,WK,R001WKL000207,Station 1,0,4,0,1
R001,WK,R001WKL000208,Station 1,0,4,0,1
R001,WK,R001WKL000209,Station 1,0,4,0,1
R001,WK,R001WKL000210,Station 1,0,4,0,1
R001,WK,R001WKL000211,Station 1,0,4,0,1
R001,WK,R001WKL000212,Station 1,0,4,0,1
R001,WK,R001WKL000213,Station 1,0,4,0,1
R001,WK,R001WKL000214,Station 1,0,4,0,1
R001,WK,R001WKL000215,Station 1,0,4,0,1
R001,WK,R001WKL000216,Station 1,0,4,0,1
R001,WK,R001WKL000217,Station 1,0,4,0,1
R001,WK,R001WKL000218,Station 1,0,4,0,1
R001,WK,R001WKL000219,Station 1,0,4,0,1
R001,WK,R001WKL000220,Station 1,0,4,0,1
R001,WK,R001WKL000221,Station 1,0,4,0,1
R001,WK,R001WKL000222,Station 1,0,4,0,1
R001,WK,R001WKL000223,Station 1,0,4,0,1
R001,WK,R001WKL000224,Station 1,0,4,0,1
R001,WK,R001WKL000225,Station 1,0,4,0,1
R001,WK,R001WKL000226,Station 1,0,4,0,1
R001,WK,R001WKL000227,Station 1,0,4,0,1
R001,WK,R001WKL000228,Station 1,0,4,0,1
R001,WK,R001WKL000229,Station 1,0,4,0,1
R001,WK,R001WKL000230,Station 1,0,4,0,1
R001,SU,R001SUR000231,Station 22,0,4,0,1
R001,SU,R001SUR000232,Station 22,0,4,0,1
R001,SU,R001SUR000233,Station 22,0,4,0,1
R001,SU,R001SUR000234,Station 22,0,4,0,1
R001,SU,R001SUR000235,Station 22,0,4,0,1
R001,SU,R001SUR000236,Station 22,0,4,0,1
R001,SU,R001SUR000237,Station 22,0,4,0,1
R001,SU,R001SUR000238,Station 22,0,4,0,1
R001,SU,R001SUR000239,Station 22,0,4,0,1
R001,SU,R001SUR000240,Station 22,0,4,0,1
R001,SU,R001SUR000241,Station 22,0,4,0,1
R001,SU,R001SUR000242,Station 22,0,4,0,1
R001,SU,R001SUR000243,Station 22,0,4,0,1
R001,SU,R001SUR000244,Station 22,0,4,0,1
R001,SU,R001SUR000245,Station 22,0,4,0,1
R001,SU,R001SUR000246,Station 22,0,4,0,1
R001,SU,R001SUR000247,Station 22,0,4,0,1
R001,SU,R001SUR000248,Station 22,0,4,0,1
R001,SU,R001SUR000249,Station 22,0,4,0,1
R001,SU,R001SUR000250,Station 22,0,4,0,1
R001,SU,R001SUR000251,Station 22,0,4,0,1
R001,SU,R001SUR000252,Station 22,0,4,0,1
R001,SU,R001SUR000253,Station 22,0,4,0,1
R001,SU,R001SUR000254,Station 22,0,4,0,1
R001,SU,R001SUR000255,Station 22,0,4,0,1
R001,SU,R001SUR000256,Station 22,0,4,0,1
R001,SU,R001SUR000257,Station 22,0,4,0,1
R001,SU,R001SUR000258,Station 22,0,4,0,1
R001,SU,R001SUR000259,Station 22,0,4,0,1
R001,SU,R001SUR000260,Station 22,0,4,0,1
R001,SU,R001SUR000261,Station 22,0,4,0,1
R001,SU,R001SUR000262,Station 22,0,4,0,1
R001,SU,R001SUR000263,Station 22,0,4,0,1
R001,SU,R001SUR000264,Station 22,0,4,0,1
R001,SU,R001SUR000265,Station 22,0,4,0,1
R001,SU,R001SUR000266,Station 22,0,4,0,1
R001,SU,R001SUR000267,Station 22,0,4,0,1
R001,SU,R001SUR000268,Station 22,0,4,0,1
R001,SU,R001SUR000269,Station 22,0,4,0,1
R001,SU,R001SUR000270,Station 22,0,4,0,1
R001,SU,R001SUR000271,Station 22,0,4,0,1
R001,SU,R001SUR000272,Station 22,0,4,0,1
R001,SU,R001SUR000273,Station 22,0,4,0,1
R001,SU,R001SUR000274,Station 22,0,4,0,1
R001,SU,R001SUR000275,Station 22,0,4,0,1
R001,SU,R001SUR000276,Station 22,0,4,0,1
R001,SU,R001SUR000277,Station 22,0,4,0,1
R001,SU,R001SUR000278,Station 22,0,4,0,1
R001,SU,R001SUR000279,Station 22,0,4,0,1
R001,SU,R001SUR000280,Station 22,0,4,0,1
R001,SU,R001SUR000281,Station 22,0,4,0,1
R001,SU,R001SUR000282,Station 22,0,4,0,1
R001,SU,R001SUR000283,Station 22,0,4,0,1
R001,SU,R001SUR000284,Station 22,0,4,0,1
R001,SU,R001SUR000285,Station 22,0,4,0,1
R001,SU,R001SUR000286,Station 22,0,4,0,1
R001,SU,R001SUR000287,Station 22,0,4,0,1
R001,SU,R001SUR000288,Station 22,0,4,0,1
R001,SU,R001SUR000289,Station 22,0,4,0,1
R001,SU,R001SUR000290,Station 22,0,4,0,1
R001,SU,R001SUR000291,Station 22,0,4,0,1
R001,SU,R001SUR000292,Station 22,0,4,0,1
R001,SU,R001SUR000293,Station 22,0,4,0,1
R001,SU,R001SUR000294,Station 22,0,4,0,1
R001,SU,R001SUR000295,Station 22,0,4,0,1
R001,SU,R001SUR000296,Station 22,0,4,0,1
R001,SU,R001SUR000297,Station 22,0,4,0,1
R001,SU,R001SUR000298,Station 22,0,4,0,1
R001,SU,R001SUR000299,Station 22,0,4,0,1
R001,SU,R001SUR000300,Station 22,0,4,0,1
R001,SU,R001SUR000301,Station 22,0,4,0,1
R001,SU,R001SUR000302,Station 22,0,4,0,1
R001,SU,R001SUR000303,Station 22,0,4,0,1
R001,SU,R001SUR000304,Station 22,0,4,0,1
R001,SU,R001SUR000305,Station 22,0,4,0,1
R001,SU,R001SUR000306,Station 22,0,4,0,1
R001,SU,R001SUR000307,Station 22,0,4,0,1
R001,SU,R001SUR000308,Station 22,0,4,0,1
R001,SU,R001SUR000309,Station 22,0,4,0,1
R001,SU,R001SUR000310,Station 22,0,4,0,1
R001,SU,R001SUR000311,Station 22,0,4,0,1
R001,SU,R001SUR000312,Station 22,0,4,0,1
R001,SU,R001SUR000313,Station 22,0,4,0,1
R001,SU,R001SUR000314,Station 22,0,4,0,1
R001,SU,R001SUR000315,Station 22,0,4,0,1
R001,SU,R001SUL000316,Station 1,0,4,0,1
R001,SU,R001SUL000317,Station 1,0,4,0,1
R001,SU,R001SUL000318,Station 1,0,4,0,1
R001,SU,R001SUL000319,Station 1,0,4,0,1
R001,SU,R001SUL000320,Station 1,0,4,0,1
R001,SU,R001SUL000321,Station 1,0,4,0,1
R001,SU,R001SUL000322,Station 1,0,4,0,1
R001,SU,R001SUL000323,Station 1,0,4,0,1
R001,SU,R001SUL000324,Station 1,0,4,0,1
R001,SU,R001SUL000325,Station 1,0,4,0,1
R001,SU,R001SUL000326,Station 1,0,4,0,1
R001,SU,R001SUL000327,Station 1,0,4,0,1
R001,SU,R001SUL000328,Station 1,0,4,0,1
R001,SU,R001SUL000329,Station 1,0,4,0,1
R001,SU,R001SUL000330,Station 1,0,4,0,1
R001,SU,R001SUL000331,Station 1,0,4,0,1
R001,SU,R001SUL000332,Station 1,0,4,0,1
R001,SU,R001SUL000333,Station 1,0,4,0,1
R001,SU,R001SUL000334,Station 1,0,4,0,1
R001,SU,R001SUL000335,Station 1,0,4,0,1
R001,SU,R001SUL000336,Station 1,0,4,0,1
R001,SU,R001SUL000337,Station 1,0,4,0,1
R001,SU,R001SUL000338,Station 1,0,4,0,1
R001,SU,R001SUL000339,Station 1,0,4,0,1
R001,SU,R001SUL000340,Station 1,0,4,0,1
R001,SU,R001SUL000341,Station 1,0,4,0,1
R001,SU,R001SUL000342,Station 1,0,4,0,1
R001,SU,R001SUL000343,Station 1,0,4,0,1
R001,SU,R001SUL000344,Station 1,0,4,0,1
R001,SU,R001SUL000345,Station 1,0,4,0,1
R001,SU,R001SUL000346,Station 1,0,4,0,1
R001,SU,R001SUL000347,Station 1,0,4,0,1
R001,SU,R001SUL000348,Station 1,0,4,0,1
R001,SU,R001SUL000349,Station 1,0,4,0,1
R001,SU,R001SUL000350,Station 1,0,4,0,1
R001,SU,R001SUL000351,Station 1,0,4,0,1
R001,SU,R001SUL000352,Station 1,0,4,0,1
R001,SU,R001SUL000353,Station 1,0,4,0,1
R001,SU,R001SUL000354,Station 1,0,4,0,1
R001,SU,R001SUL000355,Station 1,0,4,0,1
R001,SU,R001SUL000356,Station 1,0,4,0,1
R001,SU,R001SUL000357,Station 1,0,4,0,1
R001,SU,R001SUL000358,Station 1,0,4,0,1
R001,SU,R001SUL000359,Station 1,0,4,0,1
R001,SU,R001SUL000360,Station 1,0,4,0,1
R001,SU,R001SUL000361,Station 1,0,4,0,1
R001,SU,R001SUL000362,Station 1,0,4,0,1
R001,SU,R001SUL000363,Station 1,0,4,0,1
R001,SU,R001SUL000364,Station 1,0,4,0,1
R001,SU,R001SUL000365,Station 1,0,4,0,1
R001,SU,R001SUL000366,Station 1,0,4,0,1
R001,SU,R001SUL000367,Station 1,0,4,0,1
R001,SU,R001SUL000368,Station 1,0,4,0,1
R001,SU,R001SUL000369,Station 1,0,4,0,1
R001,SU,R001SUL000370,Station 1,0,4,0,1
R001,SU,R001SUL000371,Station 1,0,4,0,1
R001,SU,R001SUL000372,Station 1,0,4,0,1
R001,SU,R001SUL000373,Station 1,0,4,0,1
R001,SU,R001SUL000374,Station 1,0,4,0,1
R001,SU,R001SUL000375,Station 1,0,4,0,1
R001,SU,R001SUL000376,Station 1,0,4,0,1
R001,SU,R001SUL000377,Station 1,0,4,0,1
R001,SU,R001SUL000378,Station 1,0,4,0,1
R001,SU,R001SUL000379,Station 1,0,4,0,1
R001,SU,R001SUL000380,Station 1,0,4,0,1
R001,SU,R001SUL000381,Station 1,0,4,0,1
R001,SU,R001SUL000382,Station 1,0,4,0,1
R001,SU,R001SUL000383,Station 1,0,4,0,1
R001,SU,R001SUL000384,Station 1,0,4,0,1
R001,SU,R001SUL000385,Station 1,0,4,0,1
R001,SU,R001SUL000386,Station 1,0,4,0,1
R001,SU,R001SUL000387,Station 1,0,4,0,1
R001,SU,R001SUL000388,Station 1,0,4,0,1
R001,SU,R001SUL000389,Station 1,0,4,0,1
R001,SU,R001SUL000390,Station 1,0,4,0,1
R001,SU,R001SUL000391,Station 1,0,4,0,1
R001,SU,R001SUL000392,Station 1,0,4,0,1
R001,SU,R001SUL000393,Station 1,0,4,0,1
R001,SU,R001SUL000394,Station 1,0,4,0,1
R001,SU,R001SUL000395,Station 1,0,4,0,1
R001,SU,R001SUL000396,Station 1,0,4,0,1
R001,SU,R001SUL000397,Station 1,0,4,0,1
R001,SU,R001SUL000398,Station 1,0,4,0,1
R001,SU,R001SUL000399,Station 1,0,4,0,1
